industry,query,signal_type,patch,active
Any,Malaysia AI platform OR AI application OR agentic AI OR RAG OR vector search,AI,Malaysia,YES
Any,Malaysia customer data platform OR customer 360 OR unified customer view,Customer 360,Malaysia,YES
Financial Services,Malaysia bank payments modernization OR payment platform OR digital banking platform,Payments Modernization,Malaysia,YES
Financial Services,Malaysia bank fraud OR AML OR scam detection OR transaction monitoring,Fraud AML,Malaysia,YES
Financial Services,Malaysia bank data lakehouse OR operational data store OR data consolidation,Operational Data Layer,Malaysia,YES
Retail and Ecommerce,Malaysia retail personalization OR product recommendation OR product search,Search and Recommendations,Malaysia,YES
Telecom and Media,Malaysia telco real time data platform OR event streaming OR customer app modernization,Real Time Apps,Malaysia,YES
Public Sector,Malaysia digital identity OR citizen platform OR regulatory data platform,Citizen Services,Malaysia,YES
Healthcare,Malaysia healthcare patient platform OR care platform modernization OR AI assistant,AI App Delivery,Malaysia,NO
Manufacturing and Logistics,Malaysia supply chain visibility OR predictive maintenance OR IoT platform,Operational Intelligence,Malaysia,NO
Any,Indonesia AI platform OR AI application OR agentic AI OR RAG OR vector search,AI,Indonesia,YES
Any,Indonesia customer data platform OR customer 360 OR unified customer view,Customer 360,Indonesia,YES
Financial Services,Indonesia bank fraud OR AML OR scam detection OR compliance monitoring,Fraud AML,Indonesia,YES
Financial Services,Indonesia bank payment modernization OR transaction platform OR digital banking platform,Payments Modernization,Indonesia,YES
Financial Services,Indonesia bank data consolidation OR operational data store OR core integration,Operational Data Layer,Indonesia,YES
Retail and Ecommerce,Indonesia internal AI assistant OR knowledge assistant OR employee copilot,Internal AI Assistant,Indonesia,YES
Retail and Ecommerce,Indonesia product search OR recommendation engine OR ecommerce personalization,Search and Recommendations,Indonesia,YES
Retail and Ecommerce,Indonesia inventory platform OR order management modernization OR storefront data,Operational Apps,Indonesia,YES
Travel and Mobility,Indonesia booking platform OR travel app modernization OR loyalty platform,App Modernization,Indonesia,NO
Energy and Industrials,Indonesia monitoring dashboard OR industrial IoT platform OR operational analytics,Operational Intelligence,Indonesia,NO
Any,Japan AI platform OR AI application OR agentic AI OR RAG OR vector search,AI,Japan,YES
Any,Japan semantic search OR enterprise search OR hybrid search OR retrieval platform,Search,Japan,YES
Software and AI,Japan AI startup OR LLM product OR applied AI platform OR AI agent product,AI Productization,Japan,YES
Software and AI,Japan operational data layer OR application data platform OR schema flexibility,AI Ready Data Layer,Japan,YES
Financial Services,Japan payments modernization OR fraud detection OR open finance platform,Payments and Fraud,Japan,YES
Manufacturing and Industrial Tech,Japan smart factory platform OR industrial AI OR computer vision platform,Industrial AI,Japan,YES
Retail and Commerce,Japan product search OR personalization engine OR retail AI platform,Search and Recommendations,Japan,YES
